city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps
Atlanta,United States,4.9755,5.241,8.835,7.2570000000000014,5.2915,3.89775,8.671,2.6725,6.0233333333333325,6.456999999999999,5.817749999999999,6.5145,4.204,6.4805,7.765499999999999,4.062,5.0095,33.7628,-84.422,USA,5211164.0,8.25,4878.17,73.7
Auckland,New Zealand,4.72,4.470000000000001,4.588000000000001,2.79,1.3045000000000004,4.845000000000001,10.0,7.0215,8.162666666666665,5.0465,8.2725,5.505500000000001,5.9315,6.8500000000000005,4.395999999999999,7.402000000000001,5.862,-36.8492,174.7653,NZL,1470100.0,9.62,3978.79,54.87
Baku,Azerbaijan,9.745,9.806,2.6704999999999997,0.0,2.1690000000000005,5.492,5.671666666666666,8.772,3.701999999999999,0.0,2.62125,3.8765,5.861,1.4420000000000002,6.2195,6.584500000000001,4.503,40.3667,49.8352,AZE,2300500.0,5.74,405.72,14.73
Baltimore,United States,4.829999999999999,4.982,0.0,4.3580000000000005,3.6665,4.93475,5.502000000000001,2.373,6.870666666666666,5.8805,5.784500000000001,6.5145,4.062,4.988,0.0,5.755,3.9795,39.3051,-76.6144,USA,2189589.0,9.0,5188.03,78.91
Bangalore,India,9.810999999999998,10.0,10.0,8.972999999999999,4.064,4.00625,3.617999999999999,7.294,3.9369999999999994,0.656,2.75575,5.5565,3.4145,2.8409999999999997,3.2215000000000007,3.4844999999999997,2.385,12.9789,77.5917,IND,15386000.0,4.3,969.96,10.75
Bangkok,Thailand,7.3935,7.222,6.119,3.453,4.112,4.293500000000001,5.6036666666666655,7.0365,7.126666666666665,1.6915,3.37125,2.387,6.794500000000001,4.826499999999999,9.089,6.019,6.494000000000001,13.7525,100.4942,THA,18007000.0,5.76,629.84,15.46
Barcelona,Spain,6.3229999999999995,6.074000000000001,7.7585000000000015,5.655,5.806,5.69925,7.1196666666666655,7.407499999999999,8.403333333333332,5.029000000000002,3.6655000000000006,4.296,3.894000000000001,6.467999999999999,8.591499999999998,7.471500000000001,5.827999999999999,41.3833,2.1833,ESP,4800000.0,9.48,1978.23,40.15
Beijing,China,6.173000000000001,8.101,4.872,9.562,7.0175,4.83675,3.815333333333333,7.066,6.423333333333333,7.971000000000002,2.0555000000000003,6.103,1.4260000000000002,3.493,7.2685,2.822,4.9435,39.9067,116.3975,CHN,18522000.0,5.69,1562.35,20.83
Beirut,Lebanon,6.655500000000001,6.3,3.4094999999999995,0.0,1.3045000000000004,4.77275,4.329,6.833,6.1593333333333335,1.0035,1.449,3.4345000000000003,8.2805,1.5905,3.3995,4.184,3.842000000000001,33.8981,35.5058,LBN,2421354.0,6.1,370.25,65.01
Belfast,United Kingdom,7.532000000000001,6.014000000000001,3.55,1.6210000000000002,4.0985,5.28,8.991999999999999,7.678999999999999,8.168333333333333,4.6865000000000006,8.377500000000001,5.438,5.9545,5.5954999999999995,4.957000000000001,5.9795,1.413,54.5967,-5.93,GBR,345006.0,7.38,2333.46,44.28
